url_length,hostname_length,path_length,num_dots,num_hyphens,num_digits,has_ip,https_present,num_subdomains,tld_length,contains_login,contains_secure,contains_account,contains_update,contains_verify,label
20,12,1,2,0,0,0,0,1,2,0,0,0,0,0,1
26,18,1,2,0,5,0,0,1,2,0,0,0,0,0,1
37,12,11,2,0,8,0,0,0,3,0,0,0,0,0,1
30,18,4,2,1,0,0,1,1,4,0,0,0,0,0,1
81,21,53,2,0,6,0,0,1,3,0,0,0,0,0,1
18,10,1,1,0,1,0,0,0,4,0,0,0,0,0,1
66,32,26,3,1,0,0,1,2,3,0,0,0,0,0,1
44,36,1,2,0,0,0,0,1,3,0,0,0,0,0,1
42,33,1,2,2,0,0,1,1,3,0,0,0,0,0,1
32,24,1,2,1,0,0,0,1,3,0,0,0,0,0,1
35,26,1,2,0,0,0,1,1,3,0,0,0,0,0,1
38,20,10,2,0,0,0,1,1,2,0,0,0,0,0,1
36,27,1,2,1,0,0,1,1,3,0,0,0,0,0,1
71,19,18,2,0,3,0,1,1,3,0,0,0,0,0,1
48,39,1,3,1,0,0,1,2,3,0,0,0,0,0,1
40,31,1,2,3,0,0,1,1,3,0,0,0,0,0,1
27,15,5,1,0,0,0,0,0,2,0,0,0,0,0,1
61,43,11,3,1,16,0,0,1,3,0,0,0,0,0,1
41,32,1,2,0,0,0,1,1,3,0,0,0,0,0,1
38,29,1,2,0,0,0,1,1,3,0,0,0,0,0,1
28,20,1,2,1,0,0,0,1,2,0,0,0,0,0,1
33,22,4,2,0,0,0,0,1,3,0,0,0,0,0,1
28,17,3,2,1,0,0,1,1,3,0,0,0,0,0,1
21,13,1,1,0,5,0,0,0,2,0,0,0,0,0,1
51,18,26,3,0,0,0,0,1,3,0,0,0,0,0,1
30,18,4,2,1,0,0,1,1,4,0,0,0,0,0,1
33,22,4,2,0,0,0,0,1,3,0,0,0,0,0,1
82,74,1,3,0,8,0,0,2,4,0,0,0,0,0,1
23,15,1,1,0,0,0,0,0,4,0,0,0,0,0,1
35,26,1,2,0,0,0,1,1,3,0,0,0,0,0,1
21,12,1,1,0,0,0,1,0,5,0,0,0,0,0,1
60,43,10,3,1,17,0,0,1,3,0,0,0,0,0,1
42,20,14,3,0,0,0,1,1,6,0,0,0,0,0,1
22,14,1,1,1,0,0,0,0,3,0,0,0,0,0,1
19,11,1,1,0,0,0,0,0,3,0,0,0,0,0,1
27,18,1,2,0,4,0,1,1,3,0,0,0,0,0,1
40,31,1,3,0,4,0,1,2,3,0,0,0,0,0,1
27,18,1,2,0,0,0,1,1,4,0,0,0,0,0,1
61,43,11,3,1,22,0,0,1,3,0,0,0,0,0,1
80,25,47,3,0,0,0,1,1,3,0,0,0,0,0,1
24,16,1,2,0,3,0,0,1,3,0,0,0,0,0,1
80,21,52,2,0,15,0,0,1,3,0,0,0,0,0,1
28,17,3,2,1,0,0,1,1,3,0,0,0,0,0,1
100,30,58,3,5,8,0,1,1,2,0,0,0,0,0,1
22,13,1,1,1,0,0,1,0,3,0,0,0,0,0,1
30,10,12,1,0,0,0,1,0,2,0,0,0,0,0,1
95,35,53,2,4,23,0,0,1,3,0,0,0,0,1,1
30,18,4,2,1,0,0,1,1,4,0,0,0,0,0,1
19,7,5,1,0,0,0,0,0,2,0,0,0,0,0,1
43,34,1,2,0,1,0,1,1,2,0,0,0,0,0,1
97,30,58,3,5,7,0,1,1,2,0,0,0,0,0,1
93,33,53,2,4,23,0,0,1,3,0,0,0,0,1,1
43,21,14,2,1,4,0,1,1,2,0,0,0,0,0,1
96,30,58,3,5,7,0,1,1,2,0,0,0,0,0,1
25,16,1,2,1,0,0,1,1,3,0,0,0,0,0,1
29,13,8,1,1,5,0,1,0,3,0,0,0,0,0,1
23,14,1,1,0,9,0,1,0,4,0,0,0,0,0,1
41,24,9,2,1,2,0,1,1,2,0,0,0,0,0,1
93,21,64,4,2,1,0,1,2,2,0,0,0,0,0,1
97,25,65,2,4,29,0,0,1,7,0,0,0,1,0,1
82,36,38,3,6,28,0,1,2,3,0,0,0,0,0,1
31,22,1,3,0,2,0,1,2,3,0,0,0,0,0,1
20,7,5,1,0,0,0,1,0,2,0,0,0,0,0,1
28,18,3,2,1,0,0,0,1,4,0,0,0,0,0,1
40,31,1,2,1,0,0,1,1,3,0,0,0,0,0,1
45,15,22,2,2,0,0,1,1,3,0,0,0,0,0,1
87,21,58,4,2,0,0,1,2,2,0,0,1,0,0,1
45,37,1,3,3,0,0,0,2,3,0,0,0,0,0,1
36,18,10,2,1,5,0,1,1,4,0,0,0,0,0,1
32,24,1,3,1,0,0,0,2,2,0,0,0,0,0,1
30,21,1,2,0,0,0,1,1,4,0,0,0,0,0,1
22,13,1,2,0,3,0,1,1,3,0,0,0,0,0,1
44,35,1,2,3,0,0,1,1,3,0,0,0,0,0,1
29,18,3,2,1,0,0,1,1,4,0,0,0,0,0,1
28,17,3,2,1,0,0,1,1,3,0,0,0,0,0,1
16,8,1,1,0,1,0,0,0,3,0,0,0,0,0,1
25,17,1,2,0,6,0,0,1,2,0,0,0,0,0,1
22,13,1,1,0,2,0,1,0,3,0,0,0,0,0,1
30,18,4,2,1,0,0,1,1,4,0,0,0,0,0,1
46,38,1,3,0,0,0,0,2,3,0,0,0,0,0,1
25,16,1,2,0,0,0,1,1,3,0,0,0,0,0,1
22,13,1,1,1,0,0,1,0,3,0,0,0,0,0,1
27,18,1,2,0,7,0,1,1,2,0,0,0,0,0,1
21,13,1,2,1,0,0,0,1,3,0,0,0,0,0,1
81,21,53,2,0,11,0,0,1,3,0,0,0,0,0,1
49,19,23,1,0,2,0,0,0,2,0,0,0,0,0,1
21,12,1,1,0,0,0,1,0,5,0,0,0,0,0,1
27,12,8,2,0,0,0,0,1,2,0,0,0,0,0,1
29,20,1,1,1,2,0,1,0,3,0,0,0,0,0,1
35,26,1,2,0,0,0,1,1,3,0,0,0,0,0,1
33,24,1,2,0,0,0,1,1,3,0,1,0,0,0,1
24,15,1,1,1,0,0,1,0,4,0,0,0,0,0,1
65,22,35,2,1,0,0,1,0,3,0,0,0,0,0,1
26,18,1,2,0,5,0,0,1,2,0,0,0,0,0,1
25,16,1,2,0,2,0,1,1,3,0,0,0,0,0,1
90,18,65,1,5,29,0,0,0,3,0,0,0,0,0,1
62,25,29,3,1,0,0,1,1,3,0,0,0,0,0,1
46,37,1,2,3,0,0,1,1,3,0,0,0,0,0,1
40,13,20,2,0,0,0,0,0,3,0,0,0,0,0,1
101,29,65,1,5,29,0,0,0,3,0,0,0,0,0,1
81,21,53,2,0,18,0,0,1,3,0,0,0,0,0,1
36,27,1,2,0,0,0,1,1,2,0,0,0,0,0,1
69,60,1,2,5,6,0,1,1,3,0,0,0,0,0,1
63,20,1,2,0,15,0,1,1,3,0,0,0,0,0,1
29,17,4,2,1,0,0,1,1,3,0,0,0,0,0,1
33,13,13,2,0,0,0,0,1,3,0,0,0,0,0,1
98,43,48,4,4,20,0,0,3,3,0,0,0,0,0,1
42,33,1,2,1,3,0,1,1,3,0,0,0,0,0,1
75,17,50,1,5,14,0,1,0,3,1,0,0,0,0,1
46,38,1,2,2,0,0,0,1,3,0,0,0,0,0,1
98,26,65,2,4,29,0,0,1,3,0,0,0,0,0,1
59,50,1,2,3,0,0,1,1,3,0,0,0,0,0,1
40,22,10,3,0,2,0,1,1,2,0,0,0,0,0,1
100,40,53,3,4,32,0,0,2,6,0,0,0,0,0,1
32,23,1,3,0,6,0,1,2,3,0,0,0,0,0,1
37,28,1,1,3,0,0,1,0,5,0,0,0,0,0,1
44,35,1,2,1,0,0,1,1,3,0,0,0,0,0,1
26,18,1,1,0,6,0,0,0,3,0,0,0,0,0,1
34,25,1,3,0,2,0,1,2,3,0,0,0,0,0,1
30,21,1,2,0,0,0,1,1,3,0,0,0,0,0,1
91,19,65,1,5,29,0,0,0,3,0,0,0,0,0,1
22,13,1,1,1,0,0,1,0,3,0,0,0,0,0,1
48,40,1,3,2,0,0,0,2,3,0,0,0,0,0,1
30,18,4,2,1,0,0,1,1,4,0,0,0,0,0,1
37,29,1,1,1,6,0,0,0,3,0,0,0,0,0,1
26,18,1,2,0,6,0,0,1,2,0,0,0,0,0,1
43,20,16,1,0,0,0,0,0,3,0,0,0,0,0,1
43,34,1,2,2,0,0,1,1,3,0,0,0,0,0,1
38,19,11,1,0,1,0,1,0,3,0,0,0,0,0,1
71,16,47,1,1,0,0,1,0,2,0,0,0,0,0,1
21,12,1,1,0,0,0,1,0,2,0,0,0,0,0,1
96,36,53,2,4,23,0,0,1,3,0,0,0,0,0,1
52,14,30,4,0,0,0,1,1,2,0,0,0,0,0,1
41,32,1,3,1,7,0,1,2,3,0,0,0,0,0,1
36,28,1,2,1,8,0,0,1,3,0,0,0,0,0,1
70,27,35,2,1,0,0,1,0,3,0,0,0,0,0,1
22,14,1,1,0,5,0,0,0,3,0,0,0,0,0,1
21,13,1,2,0,0,0,0,1,3,0,0,0,0,0,1
80,21,52,2,0,9,0,0,1,3,0,0,0,0,0,1
44,22,14,2,1,0,0,1,1,3,0,0,0,0,0,1
59,50,1,2,3,0,0,1,1,3,0,0,0,0,0,1
37,28,1,2,3,0,0,1,1,3,0,0,0,0,0,1
22,13,1,1,1,0,0,1,0,3,0,0,0,0,0,1
44,16,1,2,1,2,0,1,0,6,0,0,0,0,0,1
28,20,1,2,0,0,0,0,1,3,0,0,0,0,0,1
41,15,5,3,0,2,0,1,0,2,0,0,0,0,0,1
36,19,9,2,0,0,0,1,1,3,1,0,1,0,0,1
25,16,1,2,1,0,0,1,1,3,0,0,0,0,0,1
42,22,13,2,1,3,0,0,1,2,0,0,0,0,0,1
34,25,2,1,1,8,0,0,0,4,0,0,0,0,0,1
65,49,8,3,4,3,0,1,2,3,0,0,0,0,0,1
52,23,22,2,0,4,0,0,1,2,0,0,0,0,0,1
47,39,1,2,0,0,0,0,1,3,0,0,0,0,0,1
78,19,16,1,0,14,0,1,0,3,0,0,0,0,0,1
63,54,1,2,5,0,0,1,1,3,0,0,0,0,0,1
48,22,19,3,0,0,0,0,1,2,0,0,0,0,0,1
20,12,1,2,0,2,0,0,1,3,0,0,0,0,0,1
23,14,1,2,0,0,0,1,1,3,0,0,0,0,0,1
30,21,1,1,1,0,0,1,0,4,0,0,0,0,0,1
55,22,6,2,1,10,0,1,1,3,0,0,0,0,0,1
97,25,65,1,5,29,0,0,0,3,0,0,0,0,0,1
22,13,1,1,1,0,0,1,0,3,0,0,0,0,0,1
42,34,1,3,2,0,0,0,2,3,0,0,0,0,0,1
91,31,53,2,6,23,0,0,1,3,0,0,0,0,0,1
75,21,46,3,2,0,0,1,2,2,0,0,0,0,0,1
43,34,1,2,3,0,0,1,1,3,0,0,0,0,0,1
28,18,3,2,1,0,0,0,1,4,0,0,0,0,0,1
24,15,1,1,0,0,0,1,0,4,0,0,0,0,0,1
25,16,1,2,1,0,0,1,1,3,0,0,0,0,0,1
22,13,1,1,1,0,0,1,0,3,0,0,0,0,0,1
43,34,1,2,1,0,0,1,1,3,0,0,0,0,0,1
82,74,1,3,0,6,0,0,2,4,0,0,0,0,0,1
24,14,3,1,0,0,0,0,0,4,0,0,0,0,0,1
26,18,1,2,0,6,0,0,1,2,0,0,0,0,0,1
24,15,1,1,0,0,0,1,0,3,0,0,0,0,0,1
42,13,21,2,2,0,0,1,1,3,0,0,0,0,0,1
71,19,18,2,0,2,0,1,1,3,0,0,0,0,0,1
35,16,11,2,0,2,0,1,0,2,0,0,0,0,0,1
20,11,1,2,0,2,0,1,1,3,0,0,0,0,0,1
92,20,65,1,6,29,0,0,0,3,0,0,0,0,0,1
78,27,43,2,1,0,0,1,0,3,0,0,0,0,0,1
41,32,1,2,3,0,0,1,1,3,0,0,0,0,0,1
44,20,16,4,1,0,0,1,1,2,0,0,0,0,0,1
51,42,1,2,0,0,0,1,1,3,0,0,0,0,0,1
21,12,1,1,1,0,0,1,0,3,0,0,0,0,0,1
100,50,43,2,4,36,0,0,1,2,0,0,0,0,0,1
21,13,1,2,0,3,0,0,1,3,0,0,0,0,0,1
93,21,65,3,4,29,0,0,2,3,0,0,0,0,0,1
49,36,5,2,1,0,0,1,1,2,0,0,0,0,0,1
64,45,11,3,3,0,0,1,1,3,1,0,0,0,0,1
18,10,1,1,0,7,0,0,0,2,0,0,0,0,0,1
42,34,1,2,2,11,0,0,1,3,0,0,0,0,0,1
94,22,65,1,4,29,0,0,0,3,0,1,0,0,0,1
72,16,48,1,1,0,0,1,0,2,0,0,0,0,0,1
80,21,52,2,0,11,0,0,1,3,0,0,0,0,0,1
24,16,1,2,1,0,0,0,1,4,0,0,0,0,0,1
29,11,11,3,0,0,0,0,1,2,0,0,0,0,0,1
44,22,14,2,1,0,0,1,1,2,0,0,0,0,0,1
24,10,7,1,0,0,0,0,0,2,0,0,0,0,0,1
35,27,1,3,0,0,0,0,2,6,0,0,0,0,0,1
41,11,16,1,0,8,0,1,0,2,0,0,0,0,0,1
28,19,1,2,0,6,0,1,1,3,0,0,0,0,0,1
44,21,15,2,1,0,0,1,1,2,0,0,0,0,0,1
26,17,1,2,0,2,0,1,1,4,0,0,0,0,0,1
36,27,1,2,0,4,0,1,1,3,0,0,0,0,0,1
26,18,1,2,0,6,0,0,1,2,0,0,0,0,0,1
31,23,1,2,0,0,0,0,1,9,0,0,0,0,0,1
29,18,3,2,1,0,0,1,1,4,0,0,0,0,0,1
33,10,15,3,0,0,0,1,0,5,0,0,0,0,0,1
27,18,1,2,0,0,0,1,1,3,0,0,0,0,0,1
38,19,11,1,0,0,0,1,0,3,0,0,0,0,0,1
30,18,4,2,1,0,0,1,1,4,0,0,0,0,0,1
37,24,6,2,0,0,0,0,1,4,0,0,0,0,0,1
85,13,65,1,5,29,0,0,0,3,0,0,0,0,0,1
69,60,1,2,0,0,0,1,1,7,0,0,0,0,0,1
22,13,1,1,0,0,0,1,0,5,0,0,0,0,0,1
34,24,3,1,0,0,0,0,0,3,0,0,0,0,0,1
33,24,1,2,1,0,0,1,1,3,0,0,0,0,0,1
67,19,18,2,0,4,0,1,1,3,0,0,0,0,0,1
61,20,33,4,4,0,0,1,1,2,0,0,0,0,0,1
22,13,1,1,1,0,0,1,0,3,0,0,0,0,0,1
41,32,1,2,1,0,0,1,1,3,0,0,0,0,0,1
90,23,52,4,1,10,0,1,2,2,0,0,0,0,0,1
40,31,1,2,2,0,0,1,1,3,0,0,0,0,0,1
91,19,65,1,5,29,0,0,0,3,0,0,0,0,0,1
39,19,13,1,0,0,0,0,0,2,0,0,0,0,0,1
44,35,1,2,3,0,0,1,1,3,0,0,0,0,0,1
36,28,1,3,0,0,0,0,2,3,0,1,0,0,0,1
30,21,1,2,0,0,0,1,1,9,0,0,0,0,0,1
62,54,1,2,4,0,0,0,1,3,0,0,0,0,0,1
45,24,13,2,0,4,0,1,1,2,0,0,0,0,0,1
35,26,2,1,1,9,0,0,0,4,0,0,0,0,0,1
40,32,1,3,1,6,0,0,2,3,0,0,0,0,0,1
41,32,1,3,1,8,0,1,2,3,0,0,0,0,0,1
31,23,1,2,2,9,0,0,1,3,0,0,0,0,0,1
17,9,0,1,0,0,0,1,0,3,0,0,0,0,0,0
22,14,0,1,0,0,0,1,0,3,0,0,0,0,0,0
19,11,0,1,0,0,0,1,0,3,0,0,0,0,0,0
16,8,0,1,0,0,0,1,0,3,0,0,0,0,0,0
16,8,0,1,0,0,0,1,0,3,0,0,0,0,0,0
14,6,0,1,0,0,0,1,0,3,0,0,0,0,0,0
20,12,0,1,0,0,0,1,0,3,0,0,0,0,0,0
15,7,0,1,0,0,0,1,0,3,0,0,0,0,0,0
17,9,0,1,1,0,0,1,0,2,0,0,0,0,0,0
20,12,0,1,0,0,0,1,0,3,0,0,0,0,0,0
16,8,0,1,0,1,0,1,0,3,0,0,0,0,0,0
14,6,0,1,0,0,0,1,0,2,0,0,0,0,0,0
19,11,0,1,0,0,0,1,0,3,0,0,0,0,0,0
19,11,0,1,0,0,0,1,0,3,0,0,0,0,0,0
19,11,0,1,0,0,0,1,0,2,0,0,0,0,0,0
20,12,0,1,0,0,0,1,0,3,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,3,0,0,0,0,0,0
16,8,0,1,0,0,0,1,0,2,0,0,0,0,0,0
16,8,0,1,0,0,0,1,0,3,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,3,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,3,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,3,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,3,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,3,0,0,0,0,0,0
15,7,0,1,0,0,0,1,0,3,0,0,0,0,0,0
19,11,0,1,0,0,0,1,0,3,0,0,0,0,0,0
14,6,0,1,0,0,0,1,0,3,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,3,0,0,0,0,0,0
22,14,0,1,0,0,0,1,0,2,0,0,0,0,0,0
23,15,0,1,0,0,0,1,0,3,0,0,0,0,0,0
21,13,0,1,0,0,0,1,0,2,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,3,0,0,0,0,0,0
14,6,0,1,0,0,0,1,0,3,0,0,0,0,0,0
18,10,0,2,0,0,0,1,0,5,0,0,0,0,0,0
23,15,0,1,1,0,0,1,0,3,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,3,0,0,0,0,0,0
20,12,0,1,0,0,0,1,0,3,0,0,0,0,0,0
17,9,0,1,0,0,0,1,0,3,0,0,0,0,0,0
25,17,0,1,0,0,0,1,0,3,0,0,0,0,0,0
14,6,0,1,0,0,0,1,0,2,0,0,0,0,0,0
21,13,0,1,0,0,0,1,0,3,0,0,0,0,0,0
17,9,0,1,0,0,0,1,0,3,0,0,0,0,0,0
14,6,0,1,0,0,0,1,0,3,0,0,0,0,0,0
20,12,0,1,0,0,0,1,0,3,0,0,0,0,0,0
15,7,0,1,0,0,0,1,0,3,0,0,0,0,0,0
24,16,0,1,1,0,0,1,0,3,0,0,0,0,0,0
16,8,0,1,0,0,0,1,0,3,0,0,0,0,0,0
13,5,0,1,0,0,0,1,0,2,0,0,0,0,0,0
14,6,0,1,0,0,0,1,0,4,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,3,0,0,0,0,0,0
21,13,0,1,0,0,0,1,0,3,0,0,0,0,0,0
15,7,0,1,0,0,0,1,0,2,0,0,0,0,0,0
17,9,0,1,0,0,0,1,0,5,0,0,0,0,0,0
20,12,0,1,0,0,0,1,0,3,0,0,0,0,0,0
27,19,0,1,0,0,0,1,0,3,0,0,0,0,0,0
19,11,0,1,0,0,0,1,0,3,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,3,0,0,0,0,0,0
28,20,0,1,0,0,0,1,0,3,0,0,0,0,0,0
25,17,0,1,0,0,0,1,0,3,0,0,0,0,0,0
22,14,0,1,1,0,0,1,0,3,0,0,0,0,0,0
20,12,0,1,0,0,0,1,0,3,0,0,0,0,0,0
16,8,0,1,0,1,0,1,0,3,0,0,0,0,0,0
20,12,0,1,0,0,0,1,0,3,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,3,0,0,0,0,0,0
24,16,0,1,0,0,0,1,0,3,0,0,0,0,0,0
19,11,0,1,0,0,0,1,0,3,0,0,0,0,0,0
26,18,0,1,1,0,0,1,0,3,0,0,0,0,0,0
20,12,0,1,0,0,0,1,0,3,0,0,0,0,0,0
22,14,0,1,0,0,0,1,0,3,0,0,0,0,0,0
19,11,0,1,0,3,0,1,0,3,0,0,0,0,0,0
12,4,0,1,0,0,0,1,0,2,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,2,0,0,0,0,0,0
19,11,0,1,0,0,0,1,0,3,0,0,0,0,0,0
16,8,0,1,1,0,0,1,0,3,0,0,0,0,0,0
23,15,0,1,0,0,0,1,0,3,0,0,0,0,0,0
17,9,0,1,0,0,0,1,0,3,0,0,0,0,0,0
21,13,0,1,1,0,0,1,0,3,0,0,0,0,0,0
21,13,0,1,0,0,0,1,0,3,0,0,0,0,0,0
23,15,0,1,0,0,0,1,0,3,0,0,0,0,0,0
24,16,0,1,0,0,0,1,0,3,0,0,0,0,0,0
22,14,0,2,0,0,0,1,0,6,0,0,0,0,0,0
17,9,0,1,0,0,0,1,0,3,0,0,0,0,0,0
17,9,0,1,0,0,0,1,0,3,0,0,0,0,0,0
19,11,0,1,0,0,0,1,0,3,0,0,0,0,0,0
19,11,0,1,0,0,0,1,0,3,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,3,0,0,0,0,0,0
23,15,0,1,0,0,0,1,0,3,0,0,0,0,0,0
19,11,0,1,0,0,0,1,0,3,0,0,0,0,0,0
24,16,0,1,0,0,0,1,0,3,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,2,0,0,0,0,0,0
23,15,0,1,0,0,0,1,0,3,0,0,0,0,0,0
36,28,0,1,2,0,0,1,0,3,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,3,0,0,0,0,0,0
20,12,0,1,0,0,0,1,0,3,0,0,0,0,0,0
16,8,0,1,0,0,0,1,0,2,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,3,0,0,0,0,0,0
20,12,0,1,0,0,0,1,0,3,0,0,0,0,0,0
17,9,0,1,0,0,0,1,0,3,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,3,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,3,0,0,0,0,0,0
19,11,0,1,0,0,0,1,0,3,0,0,0,0,0,0
15,7,0,1,0,0,0,1,0,3,0,0,0,0,0,0
21,13,0,1,0,0,0,1,0,3,0,0,0,0,0,0
15,7,0,1,0,0,0,1,0,3,0,0,0,0,0,0
17,9,0,1,0,0,0,1,0,3,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,3,0,0,0,0,0,0
23,15,0,1,0,0,0,1,0,3,0,0,0,0,0,0
20,12,0,1,0,0,0,1,0,3,0,0,0,0,0,0
19,11,0,1,0,0,0,1,0,3,0,0,0,0,0,0
15,7,0,1,0,0,0,1,0,3,0,0,0,0,0,0
19,11,0,1,0,0,0,1,0,3,0,0,0,0,0,0
22,14,0,1,0,0,0,1,0,3,0,0,0,0,0,0
21,13,0,1,0,0,0,1,0,2,0,0,0,0,0,0
17,9,0,1,0,0,0,1,0,3,0,0,0,0,0,0
24,16,0,1,1,0,0,1,0,3,0,0,0,0,0,0
19,11,0,2,0,0,0,1,0,5,0,0,0,0,0,0
21,13,0,1,1,0,0,1,0,3,0,0,0,0,0,0
19,11,0,1,0,0,0,1,0,3,0,0,0,0,0,0
25,17,0,1,1,0,0,1,0,3,0,0,0,0,0,0
20,12,0,1,0,0,0,1,0,3,0,0,0,0,0,0
19,11,0,1,0,0,0,1,0,3,0,0,0,0,0,0
14,6,0,1,0,0,0,1,0,2,0,0,0,0,0,0
19,11,0,1,1,0,0,1,0,3,0,0,0,0,0,0
15,7,0,1,0,0,0,1,0,3,0,0,0,0,0,0
17,9,0,1,0,0,0,1,0,3,0,0,0,0,0,0
20,12,0,1,0,0,0,1,0,3,0,0,0,0,0,0
20,12,0,1,0,0,0,1,0,3,0,0,0,0,0,0
19,11,0,1,0,0,0,1,0,3,0,0,0,0,0,0
25,17,0,1,0,0,0,1,0,3,0,0,0,0,0,0
18,10,0,1,0,0,0,1,0,3,0,0,0,0,0,0
19,11,0,1,0,0,0,1,0,3,0,0,0,0,0,0
